Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
20000000,-1.42,-104.77,6.5,12.27,-38.1,38.7,-80.4
20176990,-1.42,-105.31,6.4,12.28,-37.8,38.3,-80.4
20353980,-1.43,-105.66,6.4,12.21,-37.5,38.1,-80.3
20530972,-1.42,-106.23,6.3,12.29,-37.1,37.7,-80.3
20707962,-1.42,-106.70,6.3,12.30,-36.8,37.4,-80.3
20884952,-1.42,-107.18,6.3,12.24,-36.5,37.0,-80.2
21061944,-1.43,-107.60,6.3,12.19,-36.2,36.8,-80.2
21238934,-1.42,-108.11,6.2,12.28,-35.9,36.4,-80.2
21415924,-1.43,-108.52,6.2,12.18,-35.6,36.2,-80.1
21592916,-1.42,-108.89,6.2,12.23,-35.4,35.9,-80.1
21769906,-1.42,-109.35,6.1,12.22,-35.1,35.6,-80.1
21946896,-1.43,-109.69,6.1,12.15,-34.9,35.4,-80.0
22123888,-1.42,-110.04,6.1,12.22,-34.6,35.2,-80.1
22300878,-1.43,-110.59,6.1,12.17,-34.3,34.8,-80.0
22477868,-1.43,-110.99,6.0,12.22,-34.0,34.6,-80.0
22654860,-1.42,-111.46,6.0,12.26,-33.7,34.3,-80.0
22831850,-1.43,-111.86,6.0,12.18,-33.5,34.0,-79.9
23008840,-1.43,-112.20,5.9,12.17,-33.3,33.8,-79.9
23185832,-1.42,-112.57,5.9,12.24,-33.0,33.6,-79.9
23362822,-1.43,-113.00,5.9,12.18,-32.8,33.3,-79.8
23539812,-1.43,-113.39,5.8,12.21,-32.5,33.1,-79.8
23716804,-1.44,-113.73,5.9,12.12,-32.3,32.9,-79.7
23893794,-1.43,-114.17,5.8,12.17,-32.1,32.6,-79.7
24070784,-1.42,-114.49,5.8,12.25,-31.9,32.4,-79.8
24247776,-1.43,-114.93,5.8,12.19,-31.6,32.1,-79.7
24424766,-1.43,-115.25,5.7,12.18,-31.4,31.9,-79.6
24601756,-1.43,-115.60,5.7,12.21,-31.2,31.7,-79.6
24778748,-1.43,-115.98,5.7,12.20,-31.0,31.5,-79.6
24955738,-1.44,-116.26,5.7,12.06,-30.8,31.3,-79.5
25132728,-1.45,-116.68,5.7,12.02,-30.5,31.1,-79.4
25309720,-1.44,-117.06,5.7,12.09,-30.3,30.8,-79.4
25486710,-1.44,-117.40,5.7,12.05,-30.1,30.6,-79.3
25663700,-1.43,-117.78,5.6,12.14,-29.9,30.4,-79.4
25840692,-1.45,-118.08,5.6,12.02,-29.7,30.2,-79.2
26017682,-1.45,-118.34,5.6,12.02,-29.6,30.1,-79.2
26194672,-1.43,-118.88,5.5,12.18,-29.3,29.8,-79.3
26371664,-1.44,-119.01,5.5,12.13,-29.2,29.7,-79.3
26548654,-1.46,-119.40,5.6,11.95,-28.9,29.5,-79.1
26725644,-1.44,-119.84,5.5,12.08,-28.7,29.2,-79.1
26902636,-1.45,-120.15,5.5,12.04,-28.5,29.0,-79.1
27079626,-1.45,-120.34,5.5,12.02,-28.4,28.9,-79.0
27256616,-1.45,-120.70,5.5,11.98,-28.2,28.7,-78.9
27433608,-1.47,-121.08,5.5,11.86,-28.0,28.5,-78.8
27610598,-1.46,-121.26,5.5,11.91,-27.9,28.4,-78.8
27787588,-1.46,-121.49,5.5,11.95,-27.8,28.3,-78.8
27964580,-1.47,-121.69,5.5,11.85,-27.6,28.2,-78.7
28141570,-1.44,-122.18,5.4,12.05,-27.4,27.9,-78.8
28318560,-1.43,-122.46,5.3,12.20,-27.2,27.7,-78.9
28495552,-1.43,-122.75,5.3,12.15,-27.1,27.6,-78.9
28672542,-1.44,-123.19,5.3,12.09,-26.8,27.3,-78.7
28849532,-1.44,-123.41,5.3,12.09,-26.7,27.2,-78.7
29026524,-1.44,-123.69,5.3,12.09,-26.5,27.1,-78.7
29203514,-1.46,-124.02,5.4,11.91,-26.3,26.9,-78.5
29380504,-1.44,-124.35,5.3,12.06,-26.2,26.7,-78.6
29557496,-1.45,-124.64,5.3,12.04,-26.0,26.5,-78.5
29734486,-1.47,-124.92,5.3,11.87,-25.8,26.4,-78.3
29911476,-1.46,-125.25,5.3,11.93,-25.7,26.2,-78.3
30088468,-1.47,-125.48,5.3,11.88,-25.5,26.1,-78.2
30265458,-1.47,-125.81,5.3,11.88,-25.4,25.9,-78.2
