Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
20000000,-1.25,-118.62,4.8,13.97,-29.5,29.9,-80.7
20176990,-1.25,-119.15,4.8,13.96,-29.2,29.6,-80.6
20353980,-1.25,-119.49,4.8,13.88,-29.0,29.4,-80.6
20530972,-1.25,-120.03,4.8,13.97,-28.7,29.0,-80.6
20707962,-1.24,-120.49,4.7,14.05,-28.4,28.8,-80.6
20884952,-1.24,-120.96,4.7,14.04,-28.1,28.5,-80.5
21061944,-1.24,-121.36,4.7,14.03,-27.9,28.3,-80.5
21238934,-1.23,-121.94,4.6,14.18,-27.6,28.0,-80.5
21415924,-1.23,-122.40,4.6,14.11,-27.3,27.7,-80.4
21592916,-1.22,-122.85,4.6,14.21,-27.1,27.4,-80.4
21769906,-1.22,-123.34,4.5,14.22,-26.8,27.2,-80.4
21946896,-1.23,-123.71,4.5,14.14,-26.6,27.0,-80.3
22123888,-1.22,-124.10,4.5,14.26,-26.4,26.7,-80.3
22300878,-1.23,-124.60,4.5,14.19,-26.1,26.5,-80.2
22477868,-1.22,-124.98,4.5,14.24,-25.9,26.3,-80.2
22654860,-1.22,-125.40,4.4,14.28,-25.6,26.0,-80.2
22831850,-1.22,-125.85,4.4,14.22,-25.4,25.8,-80.1
23008840,-1.22,-126.22,4.4,14.21,-25.2,25.6,-80.1
23185832,-1.21,-126.62,4.4,14.33,-25.0,25.4,-80.1
23362822,-1.21,-127.04,4.3,14.37,-24.8,25.1,-80.1
23539812,-1.20,-127.44,4.3,14.53,-24.5,24.9,-80.1
23716804,-1.20,-127.78,4.3,14.53,-24.4,24.7,-80.1
23893794,-1.20,-128.26,4.2,14.55,-24.1,24.5,-80.0
24070784,-1.19,-128.65,4.2,14.65,-23.9,24.3,-80.0
24247776,-1.19,-129.11,4.2,14.57,-23.7,24.0,-79.9
24424766,-1.19,-129.45,4.2,14.60,-23.5,23.8,-79.9
24601756,-1.19,-129.85,4.1,14.68,-23.3,23.6,-79.9
24778748,-1.18,-130.22,4.1,14.72,-23.1,23.4,-79.9
24955738,-1.19,-130.51,4.2,14.57,-22.9,23.3,-79.7
25132728,-1.19,-130.93,4.1,14.57,-22.7,23.1,-79.7
25309720,-1.18,-131.31,4.1,14.69,-22.5,22.9,-79.7
25486710,-1.19,-131.60,4.1,14.64,-22.3,22.7,-79.6
25663700,-1.18,-131.96,4.1,14.78,-22.2,22.5,-79.6
25840692,-1.19,-132.24,4.1,14.63,-22.0,22.4,-79.5
26017682,-1.19,-132.55,4.1,14.65,-21.9,22.2,-79.5
26194672,-1.17,-133.13,4.0,14.84,-21.6,21.9,-79.5
26371664,-1.17,-133.35,4.0,14.83,-21.4,21.8,-79.4
26548654,-1.19,-133.70,4.0,14.60,-21.3,21.6,-79.2
26725644,-1.18,-134.08,4.0,14.77,-21.1,21.4,-79.3
26902636,-1.18,-134.35,4.0,14.73,-20.9,21.3,-79.2
27079626,-1.18,-134.61,4.0,14.74,-20.8,21.2,-79.2
27256616,-1.18,-135.01,4.0,14.72,-20.6,21.0,-79.1
27433608,-1.19,-135.42,4.0,14.58,-20.4,20.8,-78.9
27610598,-1.18,-135.62,4.0,14.72,-20.3,20.7,-79.0
27787588,-1.17,-135.86,3.9,14.86,-20.2,20.5,-79.0
27964580,-1.17,-136.10,3.9,14.82,-20.0,20.4,-78.9
28141570,-1.15,-136.57,3.8,15.09,-19.8,20.2,-79.0
28318560,-1.14,-136.88,3.8,15.25,-19.7,20.0,-79.1
28495552,-1.15,-137.19,3.8,15.15,-19.5,19.9,-79.0
28672542,-1.15,-137.63,3.8,15.07,-19.3,19.7,-78.8
28849532,-1.15,-137.88,3.8,15.09,-19.2,19.5,-78.8
29026524,-1.16,-138.18,3.8,15.05,-19.0,19.4,-78.7
29203514,-1.17,-138.52,3.8,14.90,-18.8,19.2,-78.5
29380504,-1.15,-138.85,3.8,15.19,-18.7,19.0,-78.6
29557496,-1.14,-139.16,3.7,15.23,-18.5,18.9,-78.6
29734486,-1.16,-139.48,3.8,15.03,-18.4,18.7,-78.4
29911476,-1.15,-139.83,3.8,15.09,-18.2,18.6,-78.3
30088468,-1.16,-140.13,3.8,15.04,-18.0,18.4,-78.2
30265458,-1.16,-140.49,3.7,15.05,-17.9,18.3,-78.2
30442448,-1.15,-140.75,3.7,15.07,-17.7,18.1,-78.1
30619440,-1.14,-141.03,3.7,15.23,-17.6,18.0,-78.2
30796430,-1.15,-141.33,3.7,15.19,-17.5,17.8,-78.1
30973420,-1.15,-141.61,3.7,15.10,-17.3,17.7,-77.9
31150412,-1.14,-141.88,3.7,15.27,-17.2,17.6,-78.0
31327402,-1.14,-142.23,3.7,15.27,-17.0,17.4,-77.9
31504392,-1.15,-142.53,3.7,15.19,-16.9,17.3,-77.7
31681384,-1.14,-142.92,3.6,15.25,-16.7,17.1,-77.7
31858374,-1.14,-143.19,3.6,15.23,-16.6,17.0,-77.6
32035364,-1.13,-143.45,3.6,15.33,-16.4,16.8,-77.6
32212356,-1.14,-143.78,3.6,15.26,-16.3,16.7,-77.4
32389346,-1.16,-144.22,3.7,15.04,-16.1,16.5,-77.1
32566336,-1.17,-144.53,3.7,14.90,-15.9,16.3,-76.9
32743328,-1.16,-144.95,3.7,14.95,-15.7,16.1,-76.8
32920318,-1.18,-145.37,3.7,14.74,-15.5,16.0,-76.5
33097308,-1.19,-145.75,3.7,14.68,-15.3,15.8,-76.3
33274300,-1.20,-146.21,3.8,14.54,-15.1,15.6,-76.0
33451290,-1.24,-146.76,3.9,14.08,-14.8,15.3,-75.4
33628280,-1.27,-147.34,4.0,13.71,-14.6,15.1,-74.8
33805272,-1.31,-147.83,4.1,13.24,-14.3,14.9,-74.1
33982262,-1.41,-148.17,4.4,12.33,-14.2,14.8,-72.8
34159252,-1.51,-148.52,4.7,11.50,-14.0,14.7,-71.4
34336244,-1.61,-148.85,5.0,10.83,-13.8,14.7,-70.2
34513234,-1.76,-148.36,5.5,9.88,-14.0,15.0,-68.7
34690224,-1.90,-147.84,5.9,9.16,-14.2,15.4,-67.4
34867216,-2.05,-147.22,6.4,8.51,-14.5,15.8,-66.3
35044206,-1.96,-146.01,6.1,8.89,-15.1,16.3,-67.8
35221196,-1.88,-144.79,5.9,9.30,-15.7,16.7,-69.3
35398188,-1.80,-143.49,5.7,9.70,-16.3,17.3,-70.7
35575178,-1.64,-143.91,5.2,10.61,-16.1,16.9,-72.1
35752168,-1.47,-144.29,4.7,11.84,-16.0,16.6,-73.8
35929160,-1.31,-144.66,4.2,13.24,-15.8,16.4,-75.3
36106150,-1.28,-145.15,4.0,13.57,-15.6,16.1,-75.5
36283140,-1.24,-145.71,3.9,14.00,-15.3,15.8,-75.7
36460132,-1.20,-146.35,3.8,14.52,-15.0,15.5,-76.0
36637122,-1.19,-146.68,3.7,14.65,-14.9,15.3,-76.0
36814112,-1.17,-147.10,3.7,14.88,-14.7,15.1,-76.0
36991104,-1.15,-147.51,3.6,15.08,-14.5,14.9,-76.1
37168094,-1.16,-147.82,3.6,15.03,-14.4,14.8,-75.9
37345084,-1.15,-148.15,3.6,15.11,-14.2,14.6,-75.9
37522076,-1.14,-148.41,3.5,15.32,-14.1,14.5,-75.9
37699066,-1.14,-148.69,3.5,15.26,-13.9,14.4,-75.8
37876056,-1.14,-149.05,3.5,15.20,-13.8,14.2,-75.6
38053048,-1.14,-149.35,3.5,15.30,-13.6,14.1,-75.6
38230038,-1.12,-149.60,3.5,15.49,-13.5,14.0,-75.6
38407028,-1.12,-149.85,3.5,15.47,-13.4,13.8,-75.5
38584020,-1.13,-150.09,3.5,15.35,-13.3,13.7,-75.3
38761010,-1.13,-150.37,3.5,15.45,-13.2,13.6,-75.3
38938000,-1.12,-150.55,3.4,15.54,-13.1,13.5,-75.3
39114992,-1.11,-150.82,3.4,15.66,-13.0,13.4,-75.3
39291982,-1.13,-151.05,3.5,15.45,-12.9,13.3,-75.0
39468972,-1.12,-151.25,3.4,15.57,-12.8,13.2,-75.0
39645964,-1.13,-151.51,3.4,15.46,-12.6,13.1,-74.8
39822954,-1.12,-151.81,3.4,15.57,-12.5,13.0,-74.7
39999944,-1.12,-152.02,3.4,15.47,-12.4,12.9,-74.5
40176936,-1.12,-152.16,3.4,15.47,-12.3,12.8,-74.5
40353926,-1.12,-152.43,3.4,15.47,-12.2,12.7,-74.3
40530916,-1.13,-152.61,3.4,15.38,-12.1,12.6,-74.1
40707908,-1.15,-152.94,3.5,15.18,-12.0,12.5,-73.8
40884898,-1.13,-153.07,3.4,15.39,-11.9,12.4,-73.9
41061888,-1.12,-153.32,3.4,15.53,-11.8,12.3,-73.9
41238880,-1.12,-153.48,3.4,15.55,-11.7,12.2,-73.9
41415870,-1.12,-153.72,3.4,15.47,-11.6,12.1,-73.7
41592860,-1.12,-153.97,3.4,15.47,-11.5,12.0,-73.5
41769852,-1.13,-154.19,3.4,15.44,-11.4,11.9,-73.4
41946842,-1.13,-154.43,3.4,15.34,-11.3,11.8,-73.1
42123832,-1.12,-154.62,3.4,15.52,-11.2,11.7,-73.2
42300824,-1.11,-154.83,3.4,15.62,-11.1,11.6,-73.2
42477814,-1.11,-154.98,3.4,15.65,-11.0,11.5,-73.1
42654804,-1.12,-155.22,3.4,15.60,-10.9,11.4,-72.9
42831796,-1.12,-155.37,3.4,15.50,-10.9,11.4,-72.7
43008786,-1.12,-155.61,3.4,15.49,-10.8,11.3,-72.6
43185776,-1.13,-155.82,3.4,15.40,-10.7,11.2,-72.3
43362768,-1.12,-156.05,3.4,15.50,-10.6,11.1,-72.3
43539758,-1.12,-156.25,3.4,15.48,-10.5,11.0,-72.1
43716748,-1.13,-156.46,3.4,15.41,-10.4,10.9,-71.9
43893740,-1.13,-156.75,3.4,15.35,-10.2,10.8,-71.7
44070730,-1.13,-156.84,3.4,15.40,-10.2,10.7,-71.7
44247720,-1.12,-157.05,3.4,15.48,-10.1,10.7,-71.6
44424712,-1.13,-157.26,3.4,15.46,-10.0,10.6,-71.4
44601702,-1.12,-157.38,3.4,15.47,-10.0,10.5,-71.3
44778692,-1.12,-157.57,3.3,15.51,-9.9,10.4,-71.3
44955684,-1.12,-157.78,3.3,15.51,-9.8,10.3,-71.1
45132674,-1.13,-157.95,3.4,15.44,-9.7,10.3,-70.9
45309664,-1.13,-158.17,3.4,15.46,-9.6,10.2,-70.7
45486656,-1.13,-158.35,3.4,15.38,-9.5,10.1,-70.5
45663646,-1.12,-158.58,3.3,15.48,-9.4,10.0,-70.4
