Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
20000000,-1.37,-114.74,5.5,12.72,-31.7,32.2,-80.1
20176990,-1.37,-115.28,5.5,12.69,-31.4,31.9,-80.1
20353980,-1.38,-115.63,5.5,12.59,-31.2,31.7,-79.9
20530972,-1.38,-116.18,5.5,12.63,-30.9,31.3,-79.9
20707962,-1.37,-116.64,5.4,12.71,-30.6,31.1,-80.0
20884952,-1.37,-117.10,5.4,12.71,-30.3,30.8,-79.9
21061944,-1.37,-117.50,5.4,12.72,-30.1,30.6,-79.9
21238934,-1.36,-118.04,5.3,12.84,-29.8,30.2,-79.9
21415924,-1.36,-118.47,5.3,12.77,-29.5,30.0,-79.8
21592916,-1.35,-118.88,5.2,12.85,-29.3,29.7,-79.9
21769906,-1.35,-119.38,5.2,12.88,-29.0,29.5,-79.8
21946896,-1.35,-119.75,5.2,12.85,-28.8,29.2,-79.8
22123888,-1.34,-120.16,5.1,12.98,-28.5,29.0,-79.8
22300878,-1.35,-120.68,5.1,12.91,-28.2,28.7,-79.7
22477868,-1.35,-121.07,5.1,12.94,-28.0,28.5,-79.7
22654860,-1.34,-121.51,5.1,12.97,-27.8,28.2,-79.7
22831850,-1.35,-121.95,5.1,12.91,-27.5,28.0,-79.6
23008840,-1.35,-122.32,5.0,12.90,-27.3,27.8,-79.5
23185832,-1.34,-122.72,5.0,13.00,-27.1,27.6,-79.6
23362822,-1.34,-123.14,5.0,12.97,-26.9,27.3,-79.5
23539812,-1.33,-123.53,4.9,13.04,-26.6,27.1,-79.5
23716804,-1.34,-123.87,4.9,12.98,-26.5,26.9,-79.4
23893794,-1.34,-124.32,4.9,13.01,-26.2,26.7,-79.4
24070784,-1.33,-124.68,4.9,13.10,-26.0,26.5,-79.4
24247776,-1.34,-125.12,4.9,13.04,-25.8,26.2,-79.3
24424766,-1.33,-125.42,4.8,13.07,-25.6,26.1,-79.3
24601756,-1.32,-125.76,4.8,13.15,-25.4,25.9,-79.3
24778748,-1.32,-126.10,4.8,13.18,-25.2,25.7,-79.3
24955738,-1.33,-126.44,4.8,13.07,-25.0,25.5,-79.2
25132728,-1.33,-126.91,4.8,13.08,-24.8,25.2,-79.1
25309720,-1.32,-127.35,4.7,13.19,-24.6,25.0,-79.1
25486710,-1.32,-127.69,4.7,13.16,-24.4,24.8,-79.1
25663700,-1.31,-128.10,4.6,13.28,-24.2,24.6,-79.1
25840692,-1.32,-128.43,4.7,13.16,-24.0,24.4,-79.0
26017682,-1.32,-128.70,4.7,13.19,-23.8,24.3,-78.9
26194672,-1.30,-129.25,4.6,13.37,-23.6,24.0,-79.0
26371664,-1.30,-129.41,4.6,13.36,-23.5,23.9,-79.0
26548654,-1.33,-129.79,4.6,13.13,-23.3,23.7,-78.7
26725644,-1.32,-130.21,4.6,13.23,-23.0,23.5,-78.7
26902636,-1.32,-130.52,4.6,13.16,-22.9,23.3,-78.6
27079626,-1.32,-130.74,4.6,13.22,-22.8,23.2,-78.6
27256616,-1.31,-131.11,4.5,13.26,-22.6,23.0,-78.6
27433608,-1.32,-131.50,4.6,13.19,-22.4,22.8,-78.5
27610598,-1.31,-131.70,4.5,13.28,-22.3,22.7,-78.5
27787588,-1.30,-131.94,4.5,13.37,-22.1,22.6,-78.6
27964580,-1.31,-132.18,4.5,13.31,-22.0,22.5,-78.5
28141570,-1.29,-132.65,4.4,13.50,-21.8,22.2,-78.6
28318560,-1.28,-132.95,4.4,13.62,-21.6,22.1,-78.6
28495552,-1.29,-133.25,4.4,13.51,-21.5,21.9,-78.5
28672542,-1.30,-133.70,4.4,13.43,-21.2,21.7,-78.3
28849532,-1.30,-133.95,4.4,13.42,-21.1,21.6,-78.2
29026524,-1.30,-134.24,4.4,13.38,-21.0,21.4,-78.1
29203514,-1.31,-134.58,4.4,13.25,-20.8,21.3,-78.0
29380504,-1.29,-134.91,4.3,13.50,-20.6,21.1,-78.1
29557496,-1.28,-135.22,4.3,13.54,-20.5,20.9,-78.1
29734486,-1.30,-135.52,4.4,13.38,-20.3,20.8,-77.9
29911476,-1.29,-135.86,4.3,13.44,-20.1,20.6,-77.9
30088468,-1.30,-136.13,4.3,13.41,-20.0,20.5,-77.8
30265458,-1.29,-136.47,4.3,13.44,-19.8,20.3,-77.7
30442448,-1.29,-136.71,4.3,13.46,-19.7,20.2,-77.7
30619440,-1.28,-136.95,4.2,13.62,-19.6,20.0,-77.8
30796430,-1.29,-137.25,4.3,13.54,-19.4,19.9,-77.7
30973420,-1.30,-137.52,4.3,13.41,-19.3,19.8,-77.5
31150412,-1.29,-137.79,4.3,13.51,-19.2,19.6,-77.5
31327402,-1.29,-138.10,4.2,13.53,-19.0,19.5,-77.5
31504392,-1.29,-138.35,4.2,13.48,-18.9,19.4,-77.4
31681384,-1.28,-138.70,4.2,13.57,-18.7,19.2,-77.3
31858374,-1.28,-138.93,4.2,13.58,-18.6,19.1,-77.3
32035364,-1.27,-139.15,4.2,13.71,-18.5,19.0,-77.4
32212356,-1.27,-139.44,4.1,13.69,-18.4,18.8,-77.3
32389346,-1.28,-139.80,4.2,13.58,-18.2,18.7,-77.1
32566336,-1.29,-140.02,4.2,13.54,-18.1,18.6,-77.0
32743328,-1.27,-140.34,4.1,13.66,-17.9,18.4,-77.0
32920318,-1.28,-140.60,4.1,13.59,-17.8,18.3,-76.9
33097308,-1.27,-140.83,4.1,13.65,-17.7,18.2,-76.9
33274300,-1.28,-141.13,4.1,13.62,-17.5,18.0,-76.8
33451290,-1.27,-141.45,4.1,13.65,-17.4,17.9,-76.7
33628280,-1.27,-141.79,4.1,13.76,-17.2,17.7,-76.7
33805272,-1.27,-142.01,4.1,13.70,-17.1,17.6,-76.6
