Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
20000000,-1.29,-111.45,5.4,13.47,-33.8,34.2,-80.9
20176990,-1.29,-112.02,5.4,13.50,-33.4,33.9,-80.9
20353980,-1.29,-112.39,5.4,13.45,-33.2,33.6,-80.8
20530972,-1.28,-112.98,5.3,13.57,-32.8,33.3,-80.9
20707962,-1.28,-113.47,5.2,13.59,-32.5,33.0,-80.8
20884952,-1.29,-113.98,5.2,13.53,-32.2,32.7,-80.8
21061944,-1.29,-114.41,5.2,13.48,-32.0,32.4,-80.7
21238934,-1.28,-114.96,5.2,13.61,-31.6,32.1,-80.7
21415924,-1.29,-115.41,5.2,13.52,-31.4,31.8,-80.6
21592916,-1.28,-115.83,5.1,13.60,-31.1,31.5,-80.7
21769906,-1.28,-116.37,5.1,13.58,-30.8,31.2,-80.6
21946896,-1.29,-116.78,5.1,13.48,-30.5,31.0,-80.5
22123888,-1.28,-117.22,5.0,13.56,-30.3,30.7,-80.5
22300878,-1.29,-117.75,5.0,13.51,-30.0,30.4,-80.5
22477868,-1.28,-118.14,5.0,13.57,-29.7,30.2,-80.5
22654860,-1.28,-118.59,5.0,13.62,-29.5,29.9,-80.5
22831850,-1.29,-119.07,5.0,13.53,-29.2,29.6,-80.4
23008840,-1.29,-119.48,5.0,13.51,-29.0,29.4,-80.3
23185832,-1.28,-119.92,4.9,13.59,-28.7,29.1,-80.3
23362822,-1.28,-120.36,4.9,13.55,-28.5,28.9,-80.2
23539812,-1.28,-120.77,4.9,13.61,-28.2,28.6,-80.2
23716804,-1.29,-121.13,4.9,13.54,-28.0,28.4,-80.2
23893794,-1.28,-121.63,4.8,13.57,-27.7,28.1,-80.1
24070784,-1.27,-122.02,4.8,13.66,-27.5,27.9,-80.1
24247776,-1.28,-122.51,4.8,13.58,-27.2,27.7,-80.0
24424766,-1.28,-122.85,4.8,13.59,-27.0,27.5,-80.0
24601756,-1.28,-123.24,4.7,13.64,-26.8,27.2,-80.0
24778748,-1.27,-123.62,4.7,13.65,-26.6,27.0,-80.0
24955738,-1.28,-123.95,4.7,13.56,-26.4,26.8,-79.9
25132728,-1.28,-124.41,4.7,13.59,-26.2,26.6,-79.8
25309720,-1.27,-124.83,4.6,13.74,-25.9,26.4,-79.9
25486710,-1.27,-125.21,4.6,13.67,-25.7,26.2,-79.8
25663700,-1.26,-125.65,4.6,13.78,-25.5,25.9,-79.8
25840692,-1.28,-126.01,4.6,13.61,-25.3,25.7,-79.7
26017682,-1.27,-126.30,4.6,13.67,-25.1,25.6,-79.7
26194672,-1.25,-126.87,4.5,13.89,-24.8,25.2,-79.7
26371664,-1.25,-127.06,4.5,13.90,-24.7,25.1,-79.7
26548654,-1.28,-127.45,4.6,13.63,-24.5,24.9,-79.5
26725644,-1.27,-127.87,4.5,13.72,-24.3,24.7,-79.5
26902636,-1.28,-128.19,4.5,13.62,-24.1,24.5,-79.4
27079626,-1.27,-128.47,4.5,13.65,-24.0,24.4,-79.3
27256616,-1.27,-128.88,4.5,13.66,-23.8,24.2,-79.3
27433608,-1.28,-129.32,4.5,13.57,-23.5,23.9,-79.2
27610598,-1.28,-129.57,4.5,13.65,-23.4,23.8,-79.2
27787588,-1.27,-129.86,4.4,13.72,-23.2,23.7,-79.2
27964580,-1.28,-130.14,4.5,13.64,-23.1,23.5,-79.1
28141570,-1.25,-130.61,4.4,13.88,-22.8,23.3,-79.2
28318560,-1.24,-130.92,4.3,14.05,-22.7,23.1,-79.3
28495552,-1.25,-131.23,4.3,13.97,-22.5,22.9,-79.2
28672542,-1.26,-131.72,4.3,13.86,-22.3,22.7,-79.0
28849532,-1.26,-132.01,4.3,13.82,-22.1,22.5,-78.9
29026524,-1.26,-132.36,4.3,13.76,-21.9,22.4,-78.8
29203514,-1.28,-132.72,4.4,13.59,-21.7,22.2,-78.6
29380504,-1.26,-133.08,4.3,13.81,-21.6,22.0,-78.7
29557496,-1.26,-133.42,4.3,13.82,-21.4,21.8,-78.7
29734486,-1.27,-133.76,4.3,13.68,-21.2,21.6,-78.5
29911476,-1.26,-134.14,4.3,13.78,-21.0,21.4,-78.5
30088468,-1.26,-134.46,4.3,13.78,-20.9,21.3,-78.5
30265458,-1.26,-134.87,4.2,13.79,-20.7,21.1,-78.4
30442448,-1.26,-135.18,4.2,13.79,-20.5,20.9,-78.3
30619440,-1.25,-135.51,4.2,13.93,-20.3,20.8,-78.4
30796430,-1.26,-135.87,4.2,13.86,-20.1,20.6,-78.2
30973420,-1.27,-136.20,4.2,13.75,-20.0,20.4,-78.1
31150412,-1.25,-136.53,4.2,13.87,-19.8,20.2,-78.1
31327402,-1.26,-136.92,4.2,13.80,-19.6,20.1,-78.0
31504392,-1.27,-137.26,4.2,13.66,-19.4,19.9,-77.8
31681384,-1.27,-137.69,4.2,13.65,-19.2,19.7,-77.7
31858374,-1.28,-138.06,4.2,13.56,-19.0,19.5,-77.5
32035364,-1.28,-138.43,4.2,13.59,-18.9,19.3,-77.4
32212356,-1.29,-138.88,4.2,13.48,-18.6,19.1,-77.2
32389346,-1.31,-139.40,4.3,13.31,-18.4,18.9,-76.9
32566336,-1.32,-139.77,4.3,13.21,-18.2,18.7,-76.7
32743328,-1.31,-140.26,4.3,13.26,-18.0,18.5,-76.6
32920318,-1.35,-140.90,4.4,12.87,-17.6,18.2,-76.1
33097308,-1.38,-141.50,4.4,12.63,-17.3,17.9,-75.6
33274300,-1.41,-142.19,4.5,12.33,-17.0,17.6,-75.1
33451290,-1.54,-142.87,4.9,11.29,-16.6,17.4,-73.5
33628280,-1.67,-143.60,5.3,10.44,-16.3,17.1,-72.0
33805272,-1.81,-144.26,5.7,9.63,-15.9,16.9,-70.2
33982262,-2.06,-143.82,6.5,8.46,-16.1,17.4,-67.9
34159252,-2.33,-143.36,7.4,7.51,-16.2,17.8,-65.6
34336244,-2.59,-142.85,8.2,6.75,-16.4,18.3,-63.3
34513234,-2.46,-140.44,7.9,7.11,-17.6,19.3,-65.8
34690224,-2.30,-138.06,7.5,7.61,-18.8,20.2,-68.2
34867216,-2.13,-135.63,7.1,8.20,-20.0,21.3,-70.5
35044206,-1.91,-136.36,6.3,9.12,-19.7,20.7,-72.2
35221196,-1.70,-137.04,5.6,10.23,-19.5,20.3,-73.8
35398188,-1.50,-137.55,5.0,11.57,-19.2,19.9,-75.5
35575178,-1.46,-138.32,4.8,11.89,-18.9,19.5,-75.7
35752168,-1.40,-139.03,4.6,12.41,-18.5,19.1,-76.1
35929160,-1.35,-139.76,4.4,12.86,-18.2,18.7,-76.4
36106150,-1.34,-140.14,4.4,12.97,-18.0,18.5,-76.4
36283140,-1.33,-140.60,4.3,13.13,-17.8,18.3,-76.4
36460132,-1.30,-141.14,4.2,13.36,-17.5,18.0,-76.5
36637122,-1.30,-141.47,4.2,13.42,-17.4,17.9,-76.5
36814112,-1.28,-141.88,4.1,13.56,-17.2,17.7,-76.5
36991104,-1.27,-142.28,4.1,13.68,-17.0,17.5,-76.5
37168094,-1.28,-142.58,4.1,13.64,-16.8,17.3,-76.4
37345084,-1.27,-142.91,4.1,13.72,-16.7,17.2,-76.3
37522076,-1.25,-143.16,4.0,13.91,-16.6,17.0,-76.5
37699066,-1.26,-143.45,4.0,13.85,-16.4,16.9,-76.3
37876056,-1.26,-143.82,4.0,13.79,-16.2,16.7,-76.1
