Frequency(Hz),Return Loss(dB),Phase(deg),Rs,SWR,Xs,|Z|,Theta
20000000,-1.27,-106.79,5.7,13.66,-36.8,37.3,-81.3
20176990,-1.27,-107.33,5.6,13.65,-36.5,36.9,-81.2
20353980,-1.28,-107.67,5.6,13.55,-36.2,36.7,-81.1
20530972,-1.28,-108.23,5.6,13.64,-35.9,36.3,-81.2
20707962,-1.27,-108.71,5.5,13.70,-35.6,36.0,-81.2
20884952,-1.27,-109.21,5.5,13.69,-35.2,35.7,-81.2
21061944,-1.27,-109.64,5.5,13.68,-35.0,35.4,-81.1
21238934,-1.26,-110.20,5.4,13.81,-34.6,35.0,-81.2
21415924,-1.27,-110.64,5.4,13.68,-34.3,34.7,-81.1
21592916,-1.26,-111.07,5.3,13.76,-34.1,34.5,-81.1
21769906,-1.26,-111.57,5.3,13.76,-33.7,34.2,-81.1
21946896,-1.27,-111.95,5.3,13.68,-33.5,33.9,-81.0
22123888,-1.26,-112.35,5.2,13.79,-33.3,33.7,-81.0
22300878,-1.27,-112.87,5.2,13.75,-32.9,33.3,-81.0
22477868,-1.26,-113.25,5.2,13.82,-32.7,33.1,-81.0
22654860,-1.25,-113.70,5.1,13.90,-32.4,32.8,-81.0
22831850,-1.26,-114.13,5.1,13.83,-32.1,32.6,-81.0
23008840,-1.26,-114.49,5.1,13.85,-31.9,32.3,-80.9
23185832,-1.25,-114.89,5.0,13.98,-31.7,32.1,-81.0
23362822,-1.25,-115.37,5.0,13.94,-31.4,31.8,-80.9
23539812,-1.24,-115.81,5.0,14.03,-31.1,31.5,-81.0
23716804,-1.25,-116.20,5.0,13.96,-30.9,31.3,-80.9
23893794,-1.24,-116.66,4.9,14.02,-30.6,31.0,-80.9
24070784,-1.23,-116.99,4.9,14.15,-30.4,30.8,-80.9
24247776,-1.24,-117.44,4.9,14.07,-30.2,30.6,-80.9
24424766,-1.24,-117.77,4.8,14.07,-30.0,30.4,-80.8
24601756,-1.23,-118.14,4.8,14.13,-29.8,30.1,-80.8
24778748,-1.23,-118.53,4.8,14.14,-29.5,29.9,-80.8
24955738,-1.24,-118.87,4.8,14.02,-29.3,29.7,-80.7
25132728,-1.24,-119.34,4.8,14.05,-29.1,29.4,-80.7
25309720,-1.22,-119.78,4.7,14.21,-28.8,29.2,-80.7
25486710,-1.23,-120.12,4.7,14.19,-28.6,29.0,-80.7
25663700,-1.21,-120.52,4.6,14.35,-28.4,28.8,-80.8
25840692,-1.22,-120.82,4.6,14.21,-28.2,28.6,-80.6
26017682,-1.22,-121.13,4.6,14.21,-28.0,28.4,-80.6
26194672,-1.21,-121.73,4.5,14.41,-27.7,28.1,-80.7
26371664,-1.21,-121.90,4.5,14.36,-27.6,28.0,-80.6
26548654,-1.23,-122.28,4.6,14.14,-27.4,27.8,-80.5
